"id","rating","raters"
1,3.59,62128
2,3.58,3403
3,3.61,55666
4,3.88,54268
5,3.81,40494
6,3.58,34587
7,3.42,50682
8,3.49,45798
9,3.79,27086
10,3.52,54925
11,3.62,48952
12,3.54,52124
13,3.83,17060
14,3.47,58260
15,3.77,42146
16,3.84,39267
17,3.89,73212
18,3.55,46166
19,3.32,17202
20,3.82,27728
21,3.58,41560
22,3.68,72037
23,3.64,34723
24,3.55,12870
25,3.78,30222
26,3.73,18512
27,3.74,19230
28,3.75,30849
29,3.76,43229
30,3.77,3481
31,3.41,9239
32,3.53,21347
33,3.51,35090
34,3.82,15190
35,3.65,17873
36,3.87,32289
37,3.46,12817
38,3.33,4440
39,3.65,4090
40,3.28,2236
41,3.45,12984
42,3.73,7566
43,3.67,5470
44,3.46,15031
45,3.47,21986
46,3.39,11384
47,3.56,20149
48,3.51,9898
49,3.48,6562
50,3.6,17230
51,3.35,16311
52,3.48,12366
53,3.43,21470
54,3.82,12687
55,3.57,31
56,3.41,8565
57,3.16,219
58,3.41,25784
59,3.53,4077
60,3.49,9779
61,3.47,8032
62,3.31,4609
63,3.55,9163
64,3.67,9225
65,3.45,5455
66,3.95,11982
67,3.41,12000
68,3.74,5211
69,3.65,6487
70,3.38,23062
71,3.66,3046
72,3.5,5560
73,3.34,12688
74,3.56,14287
75,3.83,15936
76,3.45,16026
77,3.37,3616
78,3.39,9284
79,3.47,10481
80,3.57,11578
81,3.77,5052
82,3.65,7007
83,3.5,7823
84,3.48,10641
85,3.83,7533
86,3.38,7724
87,3.61,15070
88,3.43,2888
89,3.53,8351
90,3.49,6741
91,3.6,10641
92,3.45,5164
93,3.5,9505
94,3.36,3969
95,3.53,2462
96,3.33,755
97,3.68,5913
98,3.74,7746
99,3.37,3252
100,3.56,8932
101,3.37,4518
102,3.67,7473
103,3.5,6028
104,3.76,989
105,3.64,10550
106,3.69,3845
107,3.32,4023
108,3.48,5518
109,3.95,6003
110,3.31,5444
111,3.7,9505
112,3.67,6062
113,3.59,2013
114,3.91,5712
115,3.44,6339
116,3.43,3736
117,3.53,6079
118,3.61,8948
119,3.56,11639
120,3.27,4104
121,3.55,3265
122,3.64,6576
123,3.66,16353
124,3.43,6664
125,3.82,8836
126,3.82,8836
127,3.5,5700
128,3.37,6764
129,3.54,5216
130,3.74,5568
131,3.36,5032
132,3.57,4029
133,3.55,7985
134,3.36,5628
135,3.5,11375
136,3.49,12352
137,3.6,5893
138,3.45,7341
139,3.46,8346
140,3.38,20749
141,3.46,3854
142,3.51,8306
143,3.74,6507
144,3.53,6411
145,3.4,549
146,3.62,8716
147,3.76,3115
148,3.27,1095
149,3.41,5226
150,3.4,6857
151,3.59,5320
152,3.48,4384
153,3.95,4113
154,3.4,2394
155,3.34,3075
156,3.34,7250
157,3.53,2586
158,3.57,4160
159,3.39,2324
160,3.74,3108
161,3.57,6975
162,3.88,3561
163,3.59,11262
164,3.46,4391
165,3.47,1169
166,3.53,4835
167,3.43,2059
168,3.44,1017
169,3.7,4221
170,3.5,1305
171,3.52,22480
172,3.8,30438
173,4,27599
174,4.03,4181
175,3.83,20753
176,3.93,19207
177,4.06,13556
178,3.71,8972
179,3.82,14936
180,3.62,8863
181,3.8,16440
182,4.19,10514
183,3.82,3628
184,3.67,6336
185,3.79,17950
186,4.03,4181
187,4.22,3329
188,3.62,5626
189,3.6,2521
190,3.66,3748
191,3.61,5131
192,3.81,2608
193,3.69,4743
194,3.7,2831
195,3.7,2335
196,3.49,55
197,3.84,4862
198,3.69,3265
199,3.67,362
200,3.41,194
201,3.72,2894
202,3.89,3506
203,3.69,6549
204,4.01,91607
205,3.84,79784
206,3.85,73417
207,3.75,74494
208,3.82,52171
209,3.65,9441
210,3.59,39657
211,4.1,18071
212,4.1,18071
213,3.9,20970
214,3.64,10319
215,3.83,12924
216,3.79,18621
217,3.84,10548
218,4.01,15801
219,3.48,8780
220,3.6,20447
221,3.61,7809
222,3.7,11063
223,3.81,13475
224,3.84,29276
225,3.9,10691
226,3.54,6975
227,3.63,4203
228,3.86,19993
229,4.09,10249
230,3.66,6922
231,3.58,6311
232,3.92,12769
233,3.53,4908
234,3.92,7322
235,4.11,6971
236,3.7,786
237,3.43,14775
238,3.6,9938
239,3.72,2528
240,3.71,4115
241,3.71,7568
242,3.71,8819
243,3.79,6102
244,3.59,5170
245,3.76,12382
246,3.7,13293
247,3.65,8346
248,4.02,14141
249,3.87,2168
250,3.88,20308
251,3.69,3513
252,3.75,7164
253,3.76,14052
254,3.51,2388
255,3.74,3579
256,3.99,2207
257,3.67,5993
258,3.75,3572
259,3.45,4803
260,3.65,1877
261,4.08,2421
262,4.08,2291
263,4.02,688
264,3.74,5608
265,3.77,2787
266,3.32,1284
267,4.03,7417
268,3.78,2799
269,3.96,5767
270,3.51,3825
271,3.66,2367
272,3.94,1680
273,3.61,2822
274,3.88,6175
275,3.83,1209
276,3.73,5256
277,3.54,4072
278,3.71,4024
279,3.75,3439
280,3.5,1664
281,3.54,194313
282,3.5,51603
283,3.28,25949
284,3.56,65671
285,3.47,40484
286,3.51,22432
287,3.47,31451
288,3.45,22886
289,3.96,19335
290,3.37,15198
291,4.08,3832
292,4.08,3832
293,3.39,18495
294,3.32,16504
295,3.84,21225
296,3.35,17993
297,3.29,16326
298,3.45,4762
299,3.53,61436
300,3.3,62484
301,3.54,23199
302,3.52,17677
303,3.73,17285
304,3.4,11528
305,3.3,4985
306,3.38,18416
307,3.3,4574
308,3.61,20796
309,3.31,11514
310,3.52,19126
311,3.31,8857
312,3.26,4201
313,3.31,3363
314,3.48,8536
315,2.94,4619
316,3.68,25796
317,3.39,20220
318,3.3,4122
319,3.51,3935
320,3.54,6576
321,3.36,8822
322,3.19,3368
323,3.56,2351
324,3.59,7814
325,3.36,1660
326,3.36,6698
327,3.57,7357
328,3.27,3744
329,3.2,3062
330,3.45,2658
331,3.42,6348
332,3.35,6847
333,3.45,5453
334,3.41,6029
335,3.6,9812
336,3.36,1079
337,3.15,5027
338,3.37,4484
339,3.79,3889
340,3.64,3722
341,3.49,770
342,3.41,14143
343,3.42,4120
344,3.35,4955
345,3.46,6673
346,3.53,6111
347,3.31,2904
348,3.32,4197
349,3.35,2878
350,3.38,5404
351,3.48,31398
352,3.16,676
353,3.21,3730
354,3.22,585
355,3.36,8865
356,3.44,2997
357,3.55,2974
358,3.98,73716
359,3.83,126141
360,3.53,41684
361,3.6,55819
362,3.81,48423
363,3.51,72032
364,3.61,64171
365,3.65,56747
366,4.12,52712
367,3.25,30888
368,3.62,35678
369,3.52,21741
370,3.73,3415
371,3.38,17194
372,3.68,21627
373,3.73,18978
374,3.71,52844
375,3.63,7715
376,3.61,9228
377,4.11,11495
378,3.35,32905
379,3.66,30825
380,3.73,13154
381,4.04,13857
382,4.01,5124
383,3.56,6329
384,3.46,28747
385,3.53,24544
386,3.61,32628
387,4.02,11786
388,3.46,6121
389,4.22,3187
390,3.28,4813
391,3.38,41739
392,3.73,14204
393,3.27,38840
394,3.51,37056
395,3.82,8072
396,3.85,15868
397,3.79,5194
398,3.56,3720
399,3.72,13105
400,3.33,701
401,3.62,19003
402,3.6,15950
403,3.67,8919
404,4.07,6642
405,3.98,2623
406,3.63,13402
407,3.92,7442
408,3.93,8235
409,4.01,5349
410,3.54,4699
411,3.5,7769
412,3.26,4735
413,3.57,7044
414,3.69,6798
415,3.34,6958
416,3.75,11735
417,3.55,7409
418,3.75,410
419,4.08,1761
420,3.64,7360
421,3.81,3148
